datetime,open,high,low,close,volume
1979-12-31T06:00:00Z,107.84,108.53,107.26,107.94,0
1980-01-02T06:00:00Z,107.94,108.43,105.29,105.76,0
1980-01-03T06:00:00Z,105.76,106.08,103.26,105.22,0
1980-01-04T06:00:00Z,105.22,107.08,105.09,106.52,0
1980-01-07T06:00:00Z,106.52,107.8,105.8,106.81,0
1980-01-08T06:00:00Z,106.81,109.29,106.29,108.95,0
1980-01-09T06:00:00Z,108.95,111.09,108.41,109.05,0
1980-01-10T06:00:00Z,109.05,110.86,108.47,109.89,0
1980-01-11T06:00:00Z,109.89,111.16,108.89,109.92,0
1980-01-14T06:00:00Z,109.92,111.44,109.34,110.38,0
1980-01-15T06:00:00Z,110.38,111.93,109.45,111.14,0
1980-01-16T06:00:00Z,111.14,112.9,110.38,111.05,0
1980-01-17T06:00:00Z,111.05,112.01,109.81,110.7,0
1980-01-18T06:00:00Z,110.7,111.74,109.88,111.07,0
1980-01-21T06:00:00Z,111.07,112.9,110.66,112.1,0
1980-01-22T06:00:00Z,112.1,113.1,110.92,111.51,0
1980-01-23T06:00:00Z,111.51,113.93,110.93,113.44,0
1980-01-24T06:00:00Z,113.44,115.27,112.95,113.7,0
1980-01-25T06:00:00Z,113.7,114.45,112.36,113.61,0
1980-01-28T06:00:00Z,113.61,115.65,112.93,114.85,0
1980-01-29T06:00:00Z,114.85,115.77,113.03,114.07,0
1980-01-30T06:00:00Z,114.07,115.85,113.37,115.2,0
1980-01-31T06:00:00Z,115.2,117.17,113.78,114.16,0
1980-02-01T06:00:00Z,114.16,115.54,113.13,115.12,0
1980-02-04T06:00:00Z,115.12,116.01,113.83,114.37,0
1980-02-05T06:00:00Z,114.37,115.25,112.15,114.66,0
1980-02-06T06:00:00Z,114.66,116.57,113.65,115.72,0
1980-02-07T06:00:00Z,115.72,117.87,115.22,116.28,0
1980-02-08T06:00:00Z,116.28,118.66,115.72,117.95,0
1980-02-11T06:00:00Z,117.95,119.05,116.31,117.12,0
1980-02-12T06:00:00Z,117.12,118.41,115.75,117.9,0
1980-02-13T06:00:00Z,117.9,120.22,117.57,118.44,0
1980-02-14T06:00:00Z,118.44,119.3,116.04,116.72,0
1980-02-15T06:00:00Z,116.7,116.7,114.12,115.41,0
1980-02-19T06:00:00Z,115.41,115.67,113.35,114.6,0
1980-02-20T06:00:00Z,114.6,117.18,114.06,116.47,0
1980-02-21T06:00:00Z,116.47,117.9,114.44,115.28,0
1980-02-22T06:00:00Z,115.28,116.46,113.43,115.04,0
1980-02-25T06:00:00Z,114.93,114.93,112.62,113.33,0
1980-02-26T06:00:00Z,113.33,114.76,112.3,113.98,0
1980-02-27T06:00:00Z,113.98,115.12,111.91,112.38,0
1980-02-28T06:00:00Z,112.38,113.7,111.33,112.35,0
1980-02-29T06:00:00Z,112.35,114.12,111.77,113.66,0
1980-03-03T06:00:00Z,113.66,114.34,112.01,112.5,0
1980-03-04T06:00:00Z,112.5,113.41,110.83,112.78,0
1980-03-05T06:00:00Z,112.78,113.94,110.58,111.13,0
1980-03-06T06:00:00Z,111.13,111.29,107.85,108.65,0
1980-03-07T06:00:00Z,108.65,108.96,105.99,106.9,0
1980-03-10T06:00:00Z,106.9,107.86,104.92,106.51,0
1980-03-11T06:00:00Z,106.51,108.54,106.18,107.78,0
1980-03-12T06:00:00Z,107.78,108.4,105.42,106.87,0
1980-03-13T06:00:00Z,106.87,107.55,105.1,105.62,0
1980-03-14T06:00:00Z,105.62,106.49,104.01,105.43,0
1980-03-17T06:00:00Z,105.23,105.23,101.82,102.26,0
1980-03-18T06:00:00Z,102.26,104.71,101.14,104.1,0
1980-03-19T06:00:00Z,104.1,105.72,103.35,104.31,0
1980-03-20T06:00:00Z,104.31,105.17,102.52,103.12,0
1980-03-21T06:00:00Z,103.12,103.73,101.55,102.31,0
1980-03-24T06:00:00Z,102.18,102.18,98.88,99.28,0
1980-03-25T06:00:00Z,99.28,100.58,97.89,99.19,0
1980-03-26T06:00:00Z,99.19,101.22,98.1,98.68,0
1980-03-27T06:00:00Z,98.68,99.58,94.23,98.22,0
1980-03-28T06:00:00Z,98.22,101.43,97.72,100.68,0
1980-03-31T06:00:00Z,100.68,102.65,100.02,102.09,0
1980-04-01T06:00:00Z,102.09,103.28,100.85,102.18,0
1980-04-02T06:00:00Z,102.18,103.87,101.45,102.68,0
1980-04-03T06:00:00Z,102.68,103.34,101.31,102.15,0
1980-04-07T06:00:00Z,102.15,102.27,99.73,100.19,0
1980-04-08T06:00:00Z,100.19,101.88,99.23,101.2,0
1980-04-09T06:00:00Z,101.2,103.6,101.01,103.11,0
1980-04-10T06:00:00Z,103.11,105.0,102.81,104.08,0
1980-04-11T06:00:00Z,104.08,105.15,103.2,103.79,0
1980-04-14T06:00:00Z,103.79,103.92,102.08,102.84,0
1980-04-15T06:00:00Z,102.84,103.94,101.85,102.63,0
1980-04-16T06:00:00Z,102.63,104.42,101.13,101.54,0
1980-04-17T06:00:00Z,101.54,102.21,100.12,101.05,0
1980-04-18T06:00:00Z,101.05,102.07,99.97,100.55,0
1980-04-21T06:00:00Z,100.55,101.26,98.95,99.8,0
1980-04-22T06:00:00Z,100.81,104.02,100.81,103.43,0
1980-04-23T06:00:00Z,103.43,105.11,102.81,103.73,0
1980-04-24T06:00:00Z,103.73,105.43,102.93,104.4,0
1980-04-25T06:00:00Z,104.4,105.57,103.02,105.16,0
1980-04-28T05:00:00Z,105.16,106.79,104.64,105.64,0
1980-04-29T05:00:00Z,105.64,106.7,104.86,105.86,0
1980-04-30T05:00:00Z,105.86,106.72,104.5,106.29,0
1980-05-01T05:00:00Z,106.29,106.86,104.72,105.46,0
1980-05-02T05:00:00Z,105.46,106.25,104.61,105.58,0
1980-05-05T05:00:00Z,105.58,106.83,104.64,106.38,0
1980-05-06T05:00:00Z,106.38,107.83,105.36,106.25,0
1980-05-07T05:00:00Z,106.25,108.12,105.83,107.18,0
1980-05-08T05:00:00Z,107.18,108.02,105.5,106.13,0
1980-05-09T05:00:00Z,106.13,106.2,104.18,104.72,0
1980-05-12T05:00:00Z,104.72,105.48,103.5,104.78,0
1980-05-13T05:00:00Z,104.78,106.76,104.44,106.3,0
1980-05-14T05:00:00Z,106.3,107.89,106.0,106.85,0
1980-05-15T05:00:00Z,106.85,107.99,106.07,106.99,0
1980-05-16T05:00:00Z,106.99,107.89,106.25,107.35,0
1980-05-19T05:00:00Z,107.35,108.43,106.51,107.67,0
