datetime,open,high,low,close,volume
2013-10-01T05:00:00Z,14.67,14.67,14.67,14.67,0
2013-10-02T05:00:00Z,15.81,15.81,15.81,15.81,0
2013-10-03T05:00:00Z,17.58,17.58,17.58,17.58,0
2013-10-04T05:00:00Z,16.62,16.62,16.62,16.62,0
2013-10-07T05:00:00Z,20.95,20.95,20.18,20.18,0
2013-10-08T05:00:00Z,21.87,21.87,21.87,21.87,0
2013-10-09T05:00:00Z,20.39,20.39,20.39,20.39,0
2013-10-10T05:00:00Z,17.34,17.34,17.34,17.34,0
2013-10-11T05:00:00Z,16.8,16.8,16.8,16.8,0
2013-10-14T05:00:00Z,19.1,19.1,19.1,19.1,0
2013-10-15T05:00:00Z,23.54,23.54,23.54,23.54,0
2013-10-16T05:00:00Z,16.18,16.18,16.18,16.18,0
2013-10-17T05:00:00Z,12.93,12.93,12.93,12.93,0
2013-10-18T05:00:00Z,12.91,12.91,12.91,12.91,0
2013-10-21T05:00:00Z,12.79,12.79,12.79,12.79,0
2013-10-22T05:00:00Z,12.73,12.73,12.73,12.73,0
2013-10-23T05:00:00Z,12.37,12.37,12.37,12.37,0
2013-10-24T05:00:00Z,11.95,11.95,11.95,11.95,0
2013-10-25T05:00:00Z,11.59,11.59,11.59,11.59,0
2013-10-28T05:00:00Z,12.03,12.03,12.03,12.03,0
2013-10-29T05:00:00Z,12.57,12.57,12.57,12.57,0
2013-10-30T05:00:00Z,12.98,12.98,12.98,12.98,0
2013-10-31T05:00:00Z,12.62,12.62,12.62,12.62,0
2013-11-01T05:00:00Z,12.1,12.1,12.1,12.1,0
2013-11-04T06:00:00Z,11.81,11.81,11.81,11.81,0
2013-11-05T06:00:00Z,12.14,12.14,12.14,12.14,0
2013-11-06T06:00:00Z,11.61,11.61,11.61,11.61,0
2013-11-07T06:00:00Z,13.19,13.19,13.19,13.19,0
2013-11-08T06:00:00Z,11.97,11.97,11.97,11.97,0
2013-11-12T06:00:00Z,13.02,13.02,13.02,13.02,0
2013-11-13T06:00:00Z,12.75,12.75,12.75,12.75,0
2013-11-14T06:00:00Z,11.69,11.69,11.69,11.69,0
2013-11-15T06:00:00Z,11.16,11.16,11.16,11.16,0
2013-11-18T06:00:00Z,11.61,12.51,11.01,11.8,0
2013-11-19T06:00:00Z,11.9,12.65,11.69,11.87,0
2013-11-20T06:00:00Z,11.76,12.35,9.75,12.03,0
2013-11-21T06:00:00Z,11.98,11.98,10.71,10.71,0
2013-11-22T06:00:00Z,10.7,11.0,10.27,10.34,0
2013-11-25T06:00:00Z,11.67,11.97,11.19,11.52,0
2013-11-26T06:00:00Z,11.36,11.94,11.13,11.55,0
2013-11-27T06:00:00Z,11.35,11.92,11.04,11.66,0
2013-11-29T06:00:00Z,11.79,13.59,11.79,13.59,0
2013-12-02T06:00:00Z,13.99,14.65,13.61,14.3,0
2013-12-03T06:00:00Z,15.07,15.68,14.43,14.68,0
2013-12-04T06:00:00Z,15.24,16.72,13.99,14.71,0
2013-12-05T06:00:00Z,15.22,16.07,14.79,15.42,0
2013-12-06T06:00:00Z,13.32,13.33,12.69,12.7,0
2013-12-09T06:00:00Z,14.16,14.26,13.5,13.52,0
2013-12-10T06:00:00Z,14.2,14.87,14.01,14.65,0
2013-12-11T06:00:00Z,14.87,17.37,14.86,17.36,0
2013-12-12T06:00:00Z,17.43,17.81,16.24,16.61,0
2013-12-13T06:00:00Z,16.0,17.26,15.78,17.23,0
2013-12-16T06:00:00Z,17.15,17.33,16.75,17.12,0
2013-12-17T06:00:00Z,17.0,17.65,16.36,17.06,0
2013-12-18T06:00:00Z,17.03,17.94,12.64,12.95,0
2013-12-19T06:00:00Z,11.97,12.89,11.35,12.78,0
2013-12-20T06:00:00Z,11.35,12.91,11.16,12.73,0
2013-12-23T06:00:00Z,12.73,12.96,11.92,12.23,0
2013-12-24T06:00:00Z,11.6,11.78,11.11,11.11,0
2013-12-26T06:00:00Z,11.49,11.67,10.6,10.92,0
2013-12-27T06:00:00Z,11.12,12.2,11.12,11.48,0
2013-12-30T06:00:00Z,12.51,13.23,12.5,12.99,0
2013-12-31T06:00:00Z,12.89,14.67,12.74,13.75,0
2014-01-02T06:00:00Z,14.52,14.87,13.82,13.83,0
2014-01-03T06:00:00Z,13.59,13.63,12.17,12.17,0
2014-01-06T06:00:00Z,12.46,13.53,12.04,12.51,0
2014-01-07T06:00:00Z,12.66,12.71,11.39,11.57,0
2014-01-08T06:00:00Z,11.95,12.08,11.59,11.62,0
2014-01-09T06:00:00Z,11.67,12.27,11.55,11.75,0
2014-01-10T06:00:00Z,10.95,11.55,9.97,9.97,0
2014-01-13T06:00:00Z,11.36,13.76,10.97,13.09,0
2014-01-14T06:00:00Z,12.62,12.62,11.11,11.31,0
